"NAME","THING_ID","ID"
"PM2.5@THI.EE.001","THI.EE.001","1235"
"CO2@THI.EE.001","THI.EE.001","1236"
"O3@THI.EE.001","THI.EE.001","1237"
"PM2.5@THI.SV.001","THI.SV.001","1157"
"NO2@THI.EE.001","THI.EE.001","1238"
"TVOC@THI.EE.001","THI.EE.001","1239"
"T@THI.EE.001","THI.EE.001","1240"
"CO2@THI.SV.001","THI.SV.001","1158"
"RH@THI.EE.001","THI.EE.001","1241"
"PM2.5@THI.EE.002","THI.EE.002","1242"
"CO2@THI.EE.002","THI.EE.002","1243"
"O3@THI.EE.002","THI.EE.002","1244"
"NO2@THI.EE.002","THI.EE.002","1245"
"TVOC@THI.EE.002","THI.EE.002","1246"
"TVOC@THI.SV.006","THI.SV.006","1184"
"T@THI.SV.006","THI.SV.006","1185"
"RH@THI.SV.006","THI.SV.006","1186"
"PM2.5@THI.SV.006","THI.SV.006","1182"
"CO2@THI.SV.006","THI.SV.006","1183"
"T@THI.EE.002","THI.EE.002","1247"
"RH@THI.EE.002","THI.EE.002","1248"
"PM2.5@THI.EE.003","THI.EE.003","1249"
"CO2@THI.EE.003","THI.EE.003","1250"
"O3@THI.EE.003","THI.EE.003","1251"
"NO2@THI.EE.003","THI.EE.003","1252"
"TVOC@THI.EE.003","THI.EE.003","1253"
"T@THI.EE.003","THI.EE.003","1254"
"RH@THI.EE.003","THI.EE.003","1255"
"PM2.5@THI.EE.004","THI.EE.004","1256"
"CO2@THI.EE.004","THI.EE.004","1257"
"O3@THI.EE.004","THI.EE.004","1258"
"NO2@THI.EE.004","THI.EE.004","1259"
"TVOC@THI.EE.004","THI.EE.004","1260"
"T@THI.EE.004","THI.EE.004","1261"
"RH@THI.EE.004","THI.EE.004","1262"
"PM2.5@THI.EE.005","THI.EE.005","1263"
"CO2@THI.EE.005","THI.EE.005","1264"
"O3@THI.EE.005","THI.EE.005","1265"
"NO2@THI.EE.005","THI.EE.005","1266"
"TVOC@THI.EE.005","THI.EE.005","1267"
"T@THI.EE.005","THI.EE.005","1268"
"RH@THI.EE.005","THI.EE.005","1269"
"PM2.5@THI.EE.006","THI.EE.006","1270"
"CO2@THI.EE.006","THI.EE.006","1271"
"O3@THI.EE.006","THI.EE.006","1272"
"NO2@THI.EE.006","THI.EE.006","1273"
"TVOC@THI.EE.006","THI.EE.006","1274"
"T@THI.EE.006","THI.EE.006","1275"
"RH@THI.EE.006","THI.EE.006","1276"
"PM2.5@THI.EE.007","THI.EE.007","1277"
"CO2@THI.EE.007","THI.EE.007","1278"
"O3@THI.EE.007","THI.EE.007","1279"
"NO2@THI.EE.007","THI.EE.007","1280"
"TVOC@THI.EE.007","THI.EE.007","1281"
"T@THI.EE.007","THI.EE.007","1282"
"RH@THI.EE.007","THI.EE.007","1283"
"RH@THI.SV.009","THI.SV.009","1201"
"CO2@THI.SV.015","THI.SV.015","1219"
"PM2.5@THI.FE.004","THI.FE.004","110"
"NO2@THI.FE.004","THI.FE.004","114"
"T@THI.FE.004","THI.FE.004","116"
"T@THI.SV.015","THI.SV.015","1220"
"RH@THI.SV.015","THI.SV.015","1221"
"P@THI.FE.004","THI.FE.004","118"
"P@THI.SV.015","THI.SV.015","1222"
"RH@THI.FE.004","THI.FE.004","117"
"RH@THI.SV.017","THI.SV.017","1225"
"P@THI.SV.017","THI.SV.017","1226"
"TVOC@THI.FE.004","THI.FE.004","115"
"T@THI.SV.013","THI.SV.013","1232"
"RH@THI.SV.013","THI.SV.013","1233"
"P@THI.SV.013","THI.SV.013","1234"
"PM2.5@THI.EE.008","THI.EE.008","1284"
"CO2@THI.EE.008","THI.EE.008","1285"
"O3@THI.EE.008","THI.EE.008","1286"
"NO2@THI.EE.008","THI.EE.008","1287"
"TVOC@THI.EE.008","THI.EE.008","1288"
"T@THI.EE.008","THI.EE.008","1289"
"RH@THI.EE.008","THI.EE.008","1290"
"PM2.5@THI.EE.009","THI.EE.009","1291"
"CO2@THI.EE.009","THI.EE.009","1292"
"O3@THI.EE.009","THI.EE.009","1293"
"NO2@THI.EE.009","THI.EE.009","1294"
"TVOC@THI.EE.009","THI.EE.009","1295"
"PM10@THI.FE.020","THI.FE.020","269"
"T@THI.EE.009","THI.EE.009","1296"
"RH@THI.EE.009","THI.EE.009","1297"
"TVOC@THI.FE.006","THI.FE.006","135"
"PM2.5@THI.EE.010","THI.EE.010","1298"
"RH@THI.FE.006","THI.FE.006","137"
"P@THI.FE.006","THI.FE.006","138"
"CO2@THI.EE.010","THI.EE.010","1299"
"O3@THI.EE.010","THI.EE.010","1300"
"NO2@THI.EE.010","THI.EE.010","1301"
"TVOC@THI.EE.010","THI.EE.010","1302"
"T@THI.EE.010","THI.EE.010","1303"
"RH@THI.EE.010","THI.EE.010","1304"
"PM2.5@THI.EE.011","THI.EE.011","1305"
"CO2@THI.EE.011","THI.EE.011","1306"
"PM10@THI.FE.036","THI.FE.036","429"
"O3@THI.EE.011","THI.EE.011","1307"
"NO2@THI.EE.011","THI.EE.011","1308"
"TVOC@THI.EE.011","THI.EE.011","1309"
"T@THI.EE.011","THI.EE.011","1310"
"RH@THI.EE.011","THI.EE.011","1311"
"PM2.5@THI.EE.012","THI.EE.012","1312"
"CO2@THI.EE.012","THI.EE.012","1313"
"O3@THI.EE.012","THI.EE.012","1314"
"NO2@THI.EE.012","THI.EE.012","1315"
"TVOC@THI.EE.012","THI.EE.012","1316"
"T@THI.EE.012","THI.EE.012","1317"
"TVOC@THI.FE.010","THI.FE.010","175"
"RH@THI.EE.012","THI.EE.012","1318"
"PM2.5@THI.EE.013","THI.EE.013","1319"
"CO2@THI.EE.013","THI.EE.013","1320"
"O3@THI.EE.013","THI.EE.013","1321"
"NO2@THI.EE.013","THI.EE.013","1322"
"TVOC@THI.EE.013","THI.EE.013","1323"
"TVOC@THI.FE.009","THI.FE.009","165"
"T@THI.EE.013","THI.EE.013","1324"
"RH@THI.FE.009","THI.FE.009","167"
"P@THI.FE.009","THI.FE.009","168"
"RH@THI.EE.013","THI.EE.013","1325"
"PM2.5@THI.EE.014","THI.EE.014","1326"
"CO2@THI.EE.014","THI.EE.014","1327"
"O3@THI.EE.014","THI.EE.014","1328"
"NO2@THI.EE.014","THI.EE.014","1329"
"TVOC@THI.EE.014","THI.EE.014","1330"
"T@THI.EE.014","THI.EE.014","1331"
"RH@THI.FE.010","THI.FE.010","177"
"P@THI.FE.010","THI.FE.010","178"
"RH@THI.EE.014","THI.EE.014","1332"
"PM2.5@THI.EE.015","THI.EE.015","1333"
"CO2@THI.EE.015","THI.EE.015","1334"
"O3@THI.EE.015","THI.EE.015","1335"
"NO2@THI.EE.015","THI.EE.015","1336"
"TVOC@THI.EE.015","THI.EE.015","1337"
"TVOC@THI.FE.011","THI.FE.011","185"
"T@THI.EE.015","THI.EE.015","1338"
"RH@THI.FE.011","THI.FE.011","187"
"RH@THI.EE.015","THI.EE.015","1339"
"P@THI.FE.011","THI.FE.011","188"
"PM2.5@THI.EE.016","THI.EE.016","1340"
"CO2@THI.EE.016","THI.EE.016","1341"
"O3@THI.EE.016","THI.EE.016","1342"
"CO2@THI.FE.013","THI.FE.013","202"
"NO2@THI.EE.016","THI.EE.016","1343"
"TVOC@THI.FE.012","THI.FE.012","195"
"TVOC@THI.EE.016","THI.EE.016","1344"
"RH@THI.FE.012","THI.FE.012","197"
"P@THI.FE.012","THI.FE.012","198"
"T@THI.EE.016","THI.EE.016","1345"
"RH@THI.EE.016","THI.EE.016","1346"
"PM2.5@THI.EE.017","THI.EE.017","1347"
"CO2@THI.EE.017","THI.EE.017","1348"
"O3@THI.EE.017","THI.EE.017","1349"
"NO2@THI.EE.017","THI.EE.017","1350"
"TVOC@THI.FE.013","THI.FE.013","205"
"TVOC@THI.EE.017","THI.EE.017","1351"
"RH@THI.FE.013","THI.FE.013","207"
"P@THI.FE.013","THI.FE.013","208"
